BGM,会話,,,,,,,,
空飛ぶ広報室 メインテーマ,"もう
すぐパンチするぞ 見えたか見えました やられてるぞ",,,,,,,,
"""SKY"" in the sky","だからこの空から
ここまでカメラをファンしてくれればいいんです ただそれだけの話です 難しいこと言ってますか
私 あそこからこっち 1カットで撮れたか カメラマンは逆手 さんですよね ただそれだけなら誰が取っても同じだろ そういう問題じゃ ちょっと何やってん
の 俺じゃねえよ このお嬢ちゃんです こういう商店街は
日本各地でなくなりつつある 真新しい ビル群と商店街を一つのカットで見せることによってかなりゆく街の姿を象徴的に見せる そういう社会的な視点
大事だと思うな 一つ聞かせてもらうけど 今日の取材は 何だできたよ ただの唐揚げをただの唐揚げとして取ったらただの平凡な唐揚げですよ
美味しそう 自分 立ち上げの方がいいだからせめて社会的な視点を唐揚げに社会性はいらないでしょ",,,,,,,,
That's the Way to Go,"わかりました どんな前世 服を取材すればいいですか
警察ですか 消防ですか 山猫急便ですか この度私 素晴らしい企画を思いつきました うちのイケメン 集めて
服 PC へと 聞かせて 写真集にして発売女性はすなわち F 4
を味方につければおのずとうちの好感度も上がる せめて尻と言ってください 家でやって売れますかね イケメンと 制服 ダッシュが女子は食いつくんだよ
入れ食いなんだよ俺とけ くだらない制服といえば これから来ますよ 新しい担当者 プレート イブニング の働く制服シリーズ
ついにうちの出番 あらゆる 制服 やり尽くしてやるとこなくて仕方なく 打ちって感じ それでもありがたいですよ うちのような組織にとっては
今度の担当者ってどんなやつ そこまで私は怪しい 今 わずかに曲がった
女性だってさ しかも美人って 話
女性で美人になるという 渋滞情報を 城下に隠匿するとは服を着る 違反に等しい 私が前任者から聞いたのは
 また別の話でしてでもあまりいい話では余計気になる 入っちゃいなよ
 前任者はなんてすっと ガツガツしてる人だと ガツガツガツガツガツガツ 犬か",,,,,,,,
"""SKY"" in the sky","よし決めた 我ながら 素晴らしく 意表をついた 不要なアイデアだ
 それはちょっとないんじゃないですか そこじゃねえよ 私も 片山 1位と同意見です それには来て間もないですし
 難しい方の担当は難しいかと思いますけど だからいいんじゃない人生ってさ 何だと思う
 何ですか 急に
 航空幕僚監部広報室
 俺はさ人生ってのは出会いだと思うんだよね",,,,,,,,
Sidewalk,"資料をお出しして区分
 何か問題があるならはっきり言ってください 自衛隊に空軍は存在しません 空軍って
空で展開する軍隊のことですよね それが何か
 そうなると日本に軍隊が存在することになっちゃいますけど 我々は 選手 防衛 国を守るためだけに存在する
 自衛隊 なんです 呼び方としては 空軍ではなく空自陸上自衛隊は陸自 会場自衛隊は開示となります
 失礼しました 言葉の綾 です 浮気を聞こえましたよ まあ一般の方にはよくある間違いです
 マスコミの方にしては珍しいんですけど では 勉強不足の私に教えていただけますか
 宮司さんはテート evening に一体どのような素材を提供してくださるんでしょうか よくぞ聞いてくださいました 戦闘機
""""
 警戒システムの3次元データ まだまだあります これら全てが我が 航空自衛隊の取り扱う商品です 商品 物品だけではありません
 全国の基地や 4万人に及ぶ 隊員に至るまで陽性が適切であれば ご要望のままに 全商品を無償でどどんと ご提供いたします
 商品とおっしゃいました はい 来るか来ますね ",,,,,,,,
That's the Way to Go,"心配してたんだよ 異動のこと全部が理科の性ってわけでもないんだから
 気にしないで来ていいんだからね そうだね そうする 私は尊敬してるよ 理科のさ 嫌われても恨まれても向かっていく っていう姿勢
 私なんて おじさんたちのご機嫌取るので精一杯だもん 私はそういう仕事の仕方 したくないか
 嫌われることを恐れてたら何にもできない じゃあ私 警視庁 だから私も 防衛省
 絶対 すぐ取ってやるでは寄っておきの情報を特別にお教えしましょう 現在私が 極意 で進行中のプロジェクト
 初音 ブブカ 踊って 空を飛ぶ航空自衛隊 オリジナル
 新マスコットキャラクターです パクリですよね 怒られますよ 盗作で訴えられたら 前代未聞です だからお前は分かってないんだよ そんなに自衛隊を売りたいなら
いっそ テレビ CM でも流したらどうですか あーそういえば テレビで CM 流すのにいくらかかると思ってんの9時の予算のうち
""""
自分たちで運営してます 手作り手 弁当
 広報室のオフィシャルサイトもそこの石橋が業務の間にコツコツコツコツ作ってる どうも テレビ CM 夢のまた夢 テレビってお金かかるんですね
 じゃあ ゆっくりしてってください 何秒 いなぴょん ",,,,,,,,
テイクオフ,"これなんですけど乗るのにウィングマークが必要なんです ウィングマークを取るのには
各操縦課程の段階試験のすべて失敗は1回しか許されないんです 視力はもちろん 体力も 筋力もアスリート並み 必要です 上空では最高で 90
つまりつまりつまりつまりつまりですよ 体重の9倍の重力がのしかかるんです それに耐えられる健康で丈夫な体じゃない
 とにかく 戦闘機のパイロットになるのってすごく難しいんです 絵にもなるしいいじゃないですか
 航空学生が戦闘機のパイロットになるまでの長期 企画 お断りします",,,,,,,,
見果てぬ夢,"申し訳ありませんでした 驚きましたけど 自衛官も人間ですから
 お前は何が分からない
 俺たちだって人間なんだ お風呂入んなきゃ それで辛いわ片山一位に げんこつを落とされ やっと止まりまして1時間ほど説教 定時で帰らせました
 やはり ソライ 2位には荷が重いんじゃないでしょうか 稲永 さんもあ
 あいう方ですし 笑い事でもないんだけど嬉しくなっちゃってさ それなりに 家に来る直前に村瀬にさん
 訪ねてきたえ 百里基地の305飛行隊長の空へ の元上官 空いという動画は
元気なやつだったんです 明るくって
""""
 降りかかった運命を ただ 呆然と受け止めて
 1年だった今でもまだ 呆然としてやがる そんな 空いがな震えるほどの怒りに駆られた相手は少々 ムカつく女性 ディレクター 少々 どころか期待以上だったね 荒療治ですか
 人生は出会いトマトのベーコン巻き ベーコンの黒さをトマトの酸味が見事に中和してる
 これもまた幸せな出会い なるほど ベーコン巻きのくだりは蛇足でしたね 厳しいな
 比嘉ちゃんはこれ 別々に食べる方が好きなの",,,,,,,,
Sidewalk,"今日曜9時に放送してる 報道記者 走る 主演 そうです
 このドラマキリイが抜群にいいのよね あいや 自分は見てないの視聴率18%の人気ドラマよ 18万 獲ったら 刑事物でじゃなくて
 萩じゃなかった 地すべり で被害を受けた 山村 取材に来た 主人公たちが
 道路の崩落で村に孤立 クライマックスで自衛隊の救助のヘリがやってくるそのヘリが CM 47 がいいじゃないですか
 やりましょう 労働者走るにうちの蛇が飛ぶか山の稜線から フレーム いいんだからね BGM は ワームの大会 ちょっと待ってください
 実は1週間後なんです 撮影が1週間 普通 1ヶ月は前にご相談するものだと伺ったんですけど 脚本ができたのが
 昨日 だそうでいくらなんでも無理ですよねわかりました上には無理と伝えます
 うちの蛇 何分とするの3分程度みたいですけど
 プロデューサーにすぐ電話",,,,,,,,
赤と黒,"何か 厳しい これは厳しい
 ヘリのシーンが多すぎますか 多すぎですよね これ以上削ったら話が繋がりませんよ 救助のフェリーが来たぞ
 このセリフ 視聴者の方は 漠然と自衛隊の蛇だとしか持ってくれません
 航空自衛隊の変だとわかるようにしてくれないと1週間なんて無茶なスケジュールに付き合うな うちなんですから 最後のテロップに取材協力 先として
 航空自衛隊とクレジットさせていただきますが 何をおっしゃってるの クレジット 当たり前でしょ 現場には 超過勤務で無理をさせるし
上の理解も得なきゃいけない そこまでして協力するんですよ 能力という 費用に対して最大限の効果が必要なんです 具体的にどうすれば
 ケリーのセリフに航空自衛隊 5文字
 それさえ入れてくださればもう涙をもんで最大限の協力を惜しみません 安い もんでしょ大丈夫なんですか
""""
でも意志あるところに道は開けない 攻めるぞ
 粉末長に明日朝市のタコグラフ 仕事も遊びたい 1週間だけなら 片山を 内の調整
 ポスター はいお前は 吉田と今回は 百里基地を渡る フルス なら買ってもわかるだろう
 フォローにつける 初仕事だ決まっていけ",,,,,,,,
Sidewalk,"いいです これぞ しずる しずる はい次高ふわ
 お願いします バカパカッと開いてそこから湯気がふわっ 今は はい 食べます
 ドラマの展望だった 許可出るかは知りませんが 詐欺 坂 室長 はやる気満々です
か 詐欺師 詐欺 坂 あそこの出張の異名 だ
 詐欺師 詐欺さか 1週間 木でも違ったのか
 百里基地の方がやる気満々なんですか 基地指令の娘さんがケリーの大ファン
""""
 どうかここは一つ 爆釣 が こんなチャンスは滅多にないから 大変申し訳ないが
 百里基地の方もぜひぜひご協力願いたいと もう 髪の毛 振り乱して張り切って 張り切る 片山 そっちはどうだ 鷺坂46 行って冠です
 どこへでも行きません すぐ行こう 今 行こうはい 航空自衛隊の乗り物でキャラ弁は作らん
""""",,,,,,,,
透明,"パイロットだったんだ人を殺したいと思ったことなんて一度もありません
 パイロットが人を殺すために戦闘に載ってるって言うんですか
 小学生の時 家族で 航空祭に行ったんです そこで初めて
 ブルーインパルスを見ました あんぐりでしたよ アングル あまりにも
 かっこよくてもう来た ずーっと口開けたまま ひたすら見上げてておかしくなったんじゃないかって
 おふくろに心配されたくらい その時 決めました 絶対ブルーインパルスのパイロットになるんだって
 それからはずっと 一筋です 趣味 飛行機 つまんないやつですよね 彼女ができても
すぐ振られます あ これは書かなくていいです
""""
イロットってただでさえ 難関じゃないですか 体力も 筋力もアスリート並みに必要だし
 体も丈夫で健康じゃないといけない その中でも
 ブルーインパルスに乗れる人はほんのひと握りだからブルーへの辞令が下った時には震えました この俺がついに乗れるんだ マジックだって興奮して
 吉重を走り回りました ガキみたいに来月から松島基地でブルーインパルスの訓練が始まります あの
 ブルーで空を飛べるんです 信じ続けて頑張れば夢って叶うんですね
 夢は叶うんです
""""
 悲劇のパイロット ブルーインパルスっていう",,,,,,,,
That's the Way to Go,"何ですか ドラマの撮影当日まで 空井さんに密着取材させていただきます 鷺坂室長の許可をもらってますんで
 航空自衛隊 航空自衛隊って子どもたちの大合唱 無理 盛り上がると思いますけどね よろしくお願いします
 ですから 例外はありません スタッフ全員の本名 住所 生年月日 顔パスありませんよ
 綺麗でもダメ 規則は規則です 万が一にも承認していただけなければ日本を代表する大勢の俳優さんたちのスケジュールに
大穴が開きます 関係者全員に 悪印象を植え付けることにもなりかねません
 視聴者にその情報が伝わりでもしたら多くの国民の皆様にまで悪福音書を拡散することに何やってんだ
 はいどうも無事承認におりましたからね
 根回しは済んでたからね 最後にちょいとそういうこと あとは我々ですね",,,,,,,,
一筋の光,"スカイ
りだな はい 元気でやってるが元気ですよ 見ての通り2日にお前隊長
 もう SKY じゃありません 失礼します
 空爆広報室のスライミーですよろしくお願い致します よろしくお願いします よろしくお願いします UH は飛んでるところを 実家として撮影することになっております 市内
 店の方は前日に入ることになっております
""""
いんじゃないですか じゃあ ミネラルのかくれんぼはありがとうございます
 それはどうする スカイがいいんですけど かっこよすぎねーか ダメですか 揃いのタッグネーム
 疲れ ありがとうございます スカイ のタックネームでブルーインパルスに飲むのが夢だったんです",,,,,,,,
共に歩く,"僕たちはいつでも打てる 鬱 能力もある それでも
 極限まで打たないことを命じられている 候補 も同じだ
 怒りをぶつけるのは攻撃するのと同じ それになそんな不本意なことを言われるのは俺たち広報のせいなんだ
 わかってもらおうという 努力が足りてないからだ 努力もせず
 理解しろっていうのは
 それは虫が良すぎるって話だおはようございます おはようございます 今日もお願いします
 今回の撮影のために 入間基地から飛んできていただきました い り ヘリ隊の皆さんです 入りたいです よろしくお願いします 報道記者 走る",,,,,,,,
"""SKY"" in the sky","1週間って無茶いてここまで協力させて 明日にしろとか使わないとか何に抜かしてんですか この人たちは今日のために
 遅くまで書類作ったり手続きしたり 訪問に頭下げたり 準備してくれたんです ちょっとぐらい話が繋がらなくても今ここで撮るのが筋だと思いますけど ドラマ はわかってねえ奴が口出すな
 いい加減でも作れるかい こうなったの誰のせいよ自分たちの責任でしょ あの日没まで
""""
 あの日没まであと40分です 安心させることだろう 今ここで気分を果たさないと 俺たちはただ
""""
がとう
ございます本当にありがとうございました 小さく 今度",,,,,,,,23:16:31
透明,"お前はもう パイロットじゃないよって操縦席には二度と座れないよって
てそういう通知です
 今日は久々に全力疾走しました なんかちょっと楽しかったな
 事故の瞬間のことを聞かせてもらえませんか 後ろからいきなりだったんで覚えてないんです 本当に 物理
 目が覚めたら病院のベッドの上で目が覚めたら
 全部なくしてた事故のフラッシュバックとか夢に見たりって言うの
 夢は夢は毎晩見ます でも事故の夢じゃなくて 何の夢を",,,,,,,,